Country name,Regional indicator,year,Ladder score,worked hour,Total,Male,Female,GDP,GDP Growth (%),Gender wage gap
Australia,North America and ANZ,2015,7.284,1670,72.09497,77.41175,66.83715,1.35E+12,2.190169287,13.30769231
Australia,North America and ANZ,2016,7.313,1660,72.2739,77.30183,67.3148,1.39E+12,2.759385972,13.72843211
Australia,North America and ANZ,2017,7.28399992,1662,72.9725,77.57391,68.43323,1.42E+12,2.279591798,13.00094822
Australia,North America and ANZ,2018,7.272,1654,73.51529,78.01241,69.07372,1.46E+12,2.878469715,13.44856744
Australia,North America and ANZ,2019,7.228,1651,74.21516,78.44482,70.03379,1.49E+12,2.171545057,15.31165312
Australia,North America and ANZ,2020,7.222799778,1613,70.19225,74.39691,66.03652,1.49E+12,-0.119590736,10.53333333
Australia,North America and ANZ,2021,7.183499813,1622,74.79523,78.2888,71.33744,1.52E+12,2.111168148,10.47024531
Australia,North America and ANZ,2022,7.162099838,1628,76.81198,79.98673,73.66624,1.59E+12,4.242385553,9.875
Australia,North America and ANZ,2023,7.094600201,1651,77.25185,80.27606,74.24795,1.64E+12,3.4419922,11.34751773
Austria,Western Europe,2015,7.2,1495,71.15394,75.10204,67.22444,3.8E+11,1.303523098,17.04325299
Austria,Western Europe,2016,7.119,1507,71.67229,75.62922,67.69962,3.88E+11,2.117219671,15.67089964
Austria,Western Europe,2017,7.006000042,1498,72.01996,76.07654,67.96404,3.96E+11,2.27225012,15.38215397
Austria,Western Europe,2018,7.139,1502,73.0096,77.57896,68.45063,4.06E+11,2.484220867,14.87669089
Austria,Western Europe,2019,7.246,1510,73.39964,77.83533,68.98155,4.13E+11,1.754976456,14.01174081
Austria,Western Europe,2020,7.294199944,1400,73.19311,75.02739,65.33488,3.87E+11,-6.318255287,12.38153967
Austria,Western Europe,2021,7.267799854,1437,71.29043,76.0881,67.57533,4.06E+11,4.795329106,12.15720849
Austria,Western Europe,2022,7.163000107,1435,73.96259,78.42725,70.29944,4.27E+11,5.277894212,12.14369704
Austria,Western Europe,2023,7.097300053,1435,73.9595,78.16677,70.60551,4.23E+11,-0.954962367,11.95571028
Canada,North America and ANZ,2015,7.427,1710,72.66666,75.96667,69.36667,1.56E+12,0.649970994,18.65384615
Canada,North America and ANZ,2016,7.404,1701,72.46667,75.63333,69.36667,1.57E+12,1.038550935,18.19213313
Canada,North America and ANZ,2017,7.315999985,1689,73.56667,76.66666,70.4,1.62E+12,3.033834903,18.75580316
Canada,North America and ANZ,2018,7.328,1702,74.13333,77.1,71.16666,1.66E+12,2.742963431,18.44322344
Canada,North America and ANZ,2019,7.278,1691,74.66666,77.63333,71.63333,1.7E+12,1.908431925,18.64645753
Canada,North America and ANZ,2020,7.23210001,1653,64.56667,68.16666,60.93333,1.61E+12,-5.038233441,17.57290529
Canada,North America and ANZ,2021,7.103300095,1685,72.66666,75.83334,69.43333,1.7E+12,5.286956891,16.66666667
Canada,North America and ANZ,2022,7.025100231,1686,75.8,78.5,73,1.76E+12,3.819866339,17.14285714
Canada,North America and ANZ,2023,6.960700035,1685,76.03333,78.8,73.23333,1.78E+12,1.248927304,16.13636364
Chile,Latin America and Caribbean,2015,6.67,1999,63.77236,74.66801,52.97435,2.42E+11,2.151942499,14.28571429
Chile,Latin America and Caribbean,2016,6.705,1983,63.56673,73.93233,53.27025,2.47E+11,1.753038746,
Chile,Latin America and Caribbean,2017,6.65199995,1968,64.2691,73.90191,54.66735,2.5E+11,1.357695378,12.5
Chile,Latin America and Caribbean,2018,6.476,1961,63.75344,73.58086,53.94233,2.6E+11,3.990029475,
Chile,Latin America and Caribbean,2019,6.444,1940,64.51172,73.60671,55.42865,2.62E+11,0.634367534,
Chile,Latin America and Caribbean,2020,6.228499889,1828,56.45292,60.117,42.30817,2.46E+11,-6.143474792,8.596458333
Chile,Latin America and Caribbean,2021,6.171899796,1921,60.41885,66.47884,47.58231,2.73E+11,11.33395707,10.91889176
Chile,Latin America and Caribbean,2022,6.171800137,1966,62.0662,70.94618,53.13821,2.79E+11,2.058740081,15.36705037
Chile,Latin America and Caribbean,2023,6.333799839,1953,63.3109,71.22549,54.87064,2.8E+11,0.218780667,13.5932483
Costa Rica,Latin America and Caribbean,2015,7.226,2148.2,61.02555,74.37807,47.36682,56441920820,3.652080968,9.090909091
Costa Rica,Latin America and Caribbean,2016,7.087,2204.7,57.83308,71.68166,43.59833,58814921620,4.204323252,6.250000001
Costa Rica,Latin America and Caribbean,2017,7.078999996,2178.9,60.2851,74.57809,45.69953,61260269000,4.157698963,6.586826348
Costa Rica,Latin America and Caribbean,2018,7.072,2121,61.2893,74.84639,47.55658,62862779080,2.615904404,8.450704225
Costa Rica,Latin America and Caribbean,2019,7.167,2059.6,61.26518,74.03706,48.28783,64382494190,2.417511818,6.529209622
Costa Rica,Latin America and Caribbean,2020,7.121399879,1913.2,49.69787,63.13497,48.45531,61631202090,-4.273354322,3.030303029
Costa Rica,Latin America and Caribbean,2021,7.069399834,2073.3,55.59557,69.01929,42.39611,66522107760,7.935762247,5.203619908
Costa Rica,Latin America and Caribbean,2022,6.581999779,2149,60.02401,72.8473,46.10344,69549856030,4.55149178,1.449275363
Costa Rica,Latin America and Caribbean,2023,6.608500004,2170.5,59.30724,72.04623,45.64927,73105190300,5.111921832,4.210524667
Czechia,Central and Eastern Europe,2015,6.505,1751,70.33161,77.917,62.52236,1.89E+11,4.95875849,16.45515416
