Country name,Regional indicator,year,Ladder score,worked hour
Australia,North America and ANZ,2015,7.284,1670
Australia,North America and ANZ,2016,7.313,1660
Australia,North America and ANZ,2017,7.28399992,1662
Australia,North America and ANZ,2018,7.272,1654
Australia,North America and ANZ,2019,7.228,1651
Australia,North America and ANZ,2020,7.222799778,1613
Australia,North America and ANZ,2021,7.183499813,1622
Australia,North America and ANZ,2022,7.162099838,1628
Australia,North America and ANZ,2023,7.094600201,1651
Austria,Western Europe,2015,7.2,1495
Austria,Western Europe,2016,7.119,1507
Austria,Western Europe,2017,7.006000042,1498
Austria,Western Europe,2018,7.139,1502
Austria,Western Europe,2019,7.246,1510
Austria,Western Europe,2020,7.294199944,1400
Austria,Western Europe,2021,7.267799854,1437
Austria,Western Europe,2022,7.163000107,1435
Austria,Western Europe,2023,7.097300053,1435
Belgium,Western Europe,2015,6.937,1575
Belgium,Western Europe,2016,6.929,1574
Belgium,Western Europe,2017,6.890999794,1578
Belgium,Western Europe,2018,6.927,1580
Belgium,Western Europe,2019,6.923,1577
Belgium,Western Europe,2020,6.863500118,1446
Belgium,Western Europe,2021,6.834000111,1530
Belgium,Western Europe,2022,6.804999828,1535
Canada,North America and ANZ,2015,7.427,1710
Canada,North America and ANZ,2016,7.404,1701
Canada,North America and ANZ,2017,7.315999985,1689
Canada,North America and ANZ,2018,7.328,1702
Canada,North America and ANZ,2019,7.278,1691
Canada,North America and ANZ,2020,7.23210001,1653
Canada,North America and ANZ,2021,7.103300095,1685
Canada,North America and ANZ,2022,7.025100231,1686
Canada,North America and ANZ,2023,6.960700035,1685
Chile,Latin America and Caribbean,2015,6.67,1999
Chile,Latin America and Caribbean,2016,6.705,1983
Chile,Latin America and Caribbean,2017,6.65199995,1968
Chile,Latin America and Caribbean,2018,6.476,1961
Chile,Latin America and Caribbean,2019,6.444,1940
Chile,Latin America and Caribbean,2020,6.228499889,1828
Chile,Latin America and Caribbean,2021,6.171899796,1921
Chile,Latin America and Caribbean,2022,6.171800137,1966
Chile,Latin America and Caribbean,2023,6.333799839,1953
Colombia,Latin America and Caribbean,2015,6.477,2396
Colombia,Latin America and Caribbean,2016,6.481,2392
Colombia,Latin America and Caribbean,2017,6.356999874,2376
Colombia,Latin America and Caribbean,2018,6.26,2386
Colombia,Latin America and Caribbean,2019,6.125,2383
Colombia,Latin America and Caribbean,2020,6.163400173,2069
Colombia,Latin America and Caribbean,2021,6.01240015,2307
Colombia,Latin America and Caribbean,2022,5.780600071,2297
Costa Rica,Latin America and Caribbean,2015,7.226,2148.2
Costa Rica,Latin America and Caribbean,2016,7.087,2204.7
Costa Rica,Latin America and Caribbean,2017,7.078999996,2178.9
Costa Rica,Latin America and Caribbean,2018,7.072,2121
Costa Rica,Latin America and Caribbean,2019,7.167,2059.6
Costa Rica,Latin America and Caribbean,2020,7.121399879,1913.2
Costa Rica,Latin America and Caribbean,2021,7.069399834,2073.3
Costa Rica,Latin America and Caribbean,2022,6.581999779,2149
Costa Rica,Latin America and Caribbean,2023,6.608500004,2170.5
Czechia,Central and Eastern Europe,2015,6.505,1751
Czechia,Central and Eastern Europe,2016,6.596,1774
Czechia,Central and Eastern Europe,2017,6.609000206,1776
