Country name,Regional indicator,year,Ladder score
Afghanistan,South Asia,2015,3.575
Afghanistan,South Asia,2016,3.36
Afghanistan,South Asia,2017,3.79399991
Afghanistan,South Asia,2018,3.632
Afghanistan,South Asia,2019,3.203
Afghanistan,South Asia,2020,2.566900015
Afghanistan,South Asia,2021,2.522900105
Afghanistan,South Asia,2022,2.403800011
Afghanistan,South Asia,2023,1.858999968
Afghanistan,South Asia,2024,1.720999956
Albania,Central and Eastern Europe,2015,4.959
Albania,Central and Eastern Europe,2016,4.655
Albania,Central and Eastern Europe,2017,4.644000053
Albania,Central and Eastern Europe,2018,4.586
Albania,Central and Eastern Europe,2019,4.719
Albania,Central and Eastern Europe,2020,4.882699966
Albania,Central and Eastern Europe,2021,5.117400169
Albania,Central and Eastern Europe,2022,5.198800087
Albania,Central and Eastern Europe,2023,5.277299881
Albania,Central and Eastern Europe,2024,5.304200172
Algeria,Middle East and North Africa,2015,5.605
Algeria,Middle East and North Africa,2016,6.355
Algeria,Middle East and North Africa,2017,5.872000217
Algeria,Middle East and North Africa,2018,5.295
Algeria,Middle East and North Africa,2019,5.211
Algeria,Middle East and North Africa,2020,5.005099773
Algeria,Middle East and North Africa,2021,4.88710022
Algeria,Middle East and North Africa,2022,5.122300148
Algeria,Middle East and North Africa,2023,5.329100132
Algeria,Middle East and North Africa,2024,5.363500118
Argentina,Latin America and Caribbean,2015,6.574
Argentina,Latin America and Caribbean,2016,6.65
Argentina,Latin America and Caribbean,2017,6.598999977
Argentina,Latin America and Caribbean,2018,6.388
Argentina,Latin America and Caribbean,2019,6.086
Argentina,Latin America and Caribbean,2020,5.974699974
Argentina,Latin America and Caribbean,2021,5.929299831
Argentina,Latin America and Caribbean,2022,5.967000008
Argentina,Latin America and Caribbean,2023,6.023700237
Argentina,Latin America and Caribbean,2024,6.188099861
Armenia,Commonwealth of Independent States,2015,4.35
Armenia,Commonwealth of Independent States,2016,4.36
Armenia,Commonwealth of Independent States,2017,4.375999928
Armenia,Commonwealth of Independent States,2018,4.321
Armenia,Commonwealth of Independent States,2019,4.559
Armenia,Commonwealth of Independent States,2020,4.676799774
Armenia,Commonwealth of Independent States,2021,5.282599926
Armenia,Commonwealth of Independent States,2022,5.398600101
Armenia,Commonwealth of Independent States,2023,5.341700077
Armenia,Commonwealth of Independent States,2024,5.454899788
Australia,North America and ANZ,2015,7.284
Australia,North America and ANZ,2016,7.313
Australia,North America and ANZ,2017,7.28399992
Australia,North America and ANZ,2018,7.272
Australia,North America and ANZ,2019,7.228
Australia,North America and ANZ,2020,7.222799778
Australia,North America and ANZ,2021,7.183499813
Australia,North America and ANZ,2022,7.162099838
Australia,North America and ANZ,2023,7.094600201
Australia,North America and ANZ,2024,7.056900024
Austria,Western Europe,2015,7.2
Austria,Western Europe,2016,7.119
Austria,Western Europe,2017,7.006000042
Austria,Western Europe,2018,7.139
Austria,Western Europe,2019,7.246
Austria,Western Europe,2020,7.294199944
Austria,Western Europe,2021,7.267799854
Austria,Western Europe,2022,7.163000107
Austria,Western Europe,2023,7.097300053
Austria,Western Europe,2024,6.904699802
Bangladesh,South Asia,2015,4.694
Bangladesh,South Asia,2016,4.643
Bangladesh,South Asia,2017,4.607999802
Bangladesh,South Asia,2018,4.5
Bangladesh,South Asia,2019,4.456
Bangladesh,South Asia,2020,4.832799911
