Country name,Total,Male,Female,year
Iceland,84.9536,87.99194,81.85702,2015
Switzerland,78.79707,83.19934,74.28912,2015
Netherlands,75.81539,80.35137,71.25246,2015
Sweden,75.35756,76.38591,73.61509,2015
Norway,74.87398,76.32457,73.35555,2015
New Zealand,74.16473,78.82878,68.5279,2015
United Kingdom,73.74454,78.63214,68.98146,2015
Japan,73.46207,81.9703,64.80609,2015
Estonia,73.19204,76.29252,70.22407,2015
Germany,72.87457,76.77691,68.90658,2015
Canada,72.66666,75.96667,69.36667,2015
Denmark,72.27721,74.77542,68.56751,2015
Australia,72.09497,77.41175,66.83715,2015
Austria,71.15394,75.10204,67.22444,2015
Czechia,70.33161,77.917,62.52236,2015
United States,68.68673,74.02953,63.34885,2015
Israel,68.52558,72.21677,64.86387,2015
Latvia,68.38374,70.35126,67.21536,2015
Finland,67.76099,68.46046,67.05031,2015
Lithuania,67.5029,68.20651,66.84197,2015
Colombia,67.34928,79.23686,56.14503,2015
OECD,66.31266,74.28812,58.77762,2015
Korea,65.85446,75.91627,55.84512,2015
Luxembourg,65.49909,71.22602,59.60256,2015
Slovenia,65.37949,69.21818,61.2889,2015
Ireland,65.24232,70.37261,59.38625,2015
France,64.80392,67.39877,62.31011,2015
Slovak Rep.,64.7396,69.79576,60.09438,2015
Hungary,64.32932,70.67867,58.13907,2015
Chile,63.77236,74.66801,52.97435,2015
Portugal,63.45048,66.43887,60.65375,2015
Belgium,61.87543,65.91953,57.91574,2015
Poland,61.79607,67.68424,55.91222,2015
Costa Rica,61.02555,74.37807,47.36682,2015
Mexico,60.63592,78.17484,44.62405,2015
Spain,56.99921,63.18058,52.74573,2015
Italy,56.18124,65.46433,47.01622,2015
Greece,51.40955,58.67304,42.23317,2015
T체rkiye,50.34165,69.98596,30.6102,2015
Iceland,86.93053,89.85617,83.89719,2016
Switzerland,79.39641,83.72337,74.96828,2016
Netherlands,76.58772,80.90819,72.24838,2016
New Zealand,76.32677,80.9531,70.65962,2016
Sweden,75.80502,77.10467,73.87751,2016
Japan,74.65979,82.72937,66.423,2016
